issued_date,title,authors,tanggal_valid,subject,cluster
,"Telaah Metabolit Sekunder dan Inhibisi Ciplukan, Alang-Alang, Pandan, dan Pepaya terhadap Aktivitas Enzim Pengonversi Angiotensin.","['Trivadila', ' Iswantini P, Dyah', ' Dalimunthe, Yulia Mayam Sari']",False,"['aktivitas', 'metabolit', 'alang', 'enzim']",60
,Pendugaan Value-at-Risk dan Expected-Shortfall Portofolio dari Tiga Aset Keuangan dengan Pendekatan Copula-ARMA-GARCH,"['Budiarti, Retno', ' Mangku, I Wayan', ' Rahmawati, Vinni Maulidina']",False,"['pendekatan', 'pendugaan', 'keuangan']",19
,Kombinasi Ekstrak Etanol Temulawak dan Propolis sebagai Antitumor Mammae pada Tikus Sprague-Dawley.,"['Hasan, Akhmad Endang Zainal', ' Handharyani, Ekowati', ' Susilawati']",False,"['ekstrak', 'temulawak', 'tikus', 'kombinasi', 'etanol']",93
,Pendugaan VaR dan TVaR Berdasarkan Model Drawable Vine Copula dengan Simulasi Monte Carlo,"['Ruhiyat', ' Budiarti, Retno', ' Amalia, Unun Rizka']",False,"['var', 'model', 'berdasarkan', 'pendugaan']",19
,Profil Metabolit Ekstrak Daun Sembung (Blumea balsamifera) Menggunakan Kromatografi Cair-Spektrometri Massa,"['Heryanto, Rudi', ' Rafi, Mohamad', ' Anindya, Weni']",False,"['ekstrak', 'daun', 'ekstrak daun', 'metabolit', 'profil', 'cair', 'massa']",53
,Analisis In-Silico Pegaruh Konformasi Molekul Benzileugenol Dibromida pada Sinyal Resonans Magnetik Inti,"['Mas_ud, Zainal Alim', ' Irfana, Luthfan', ' Octonariz, Vito Zhafran']",False,"['analisis', 'in']",61
,Analisis Keberlanjutan dan Strategi Kebijakan Lahan Pertanian Pangan di Kota Bogor,"['Nindyantoro', ' Gandhi, Prima', ' Darmawan, Irham']",False,"['analisis', 'kota', 'bogor', 'kota bogor', 'strategi', 'pertanian', 'keberlanjutan', 'kebijakan', 'lahan', 'pangan']",19
,"Studi Kelayakan Kerjasama Pengembangan Mesin Karbonasi Sampah pada Apartemen Taman Rasuna, Jakarta Selatan","['Mulyati, Heti', ' Septiani, Stevia', ' Kusmawati, Mega']",False,"['taman', 'pengembangan', 'studi', 'jakarta', 'sampah', 'selatan']",19
,"Analisis Sikap, Preferensi, dan Keputusan Pembelian Konsumen terhadap Buah Durian di Kota Bekasi","['Yusalina', ' Karenina, Juniar']",False,"['analisis', 'kota', 'preferensi', 'sikap', 'keputusan', 'pembelian', 'konsumen', 'buah', 'keputusan pembelian']",19
,Faktor-Faktor yang Memengaruhi Impulse Buying Es Kopi Susu Kekinian di Kota Bogor,"['Siregar, Edward H', ' Kharista, Kania Tistya']",False,"['susu', 'kota', 'bogor', 'kota bogor', 'kopi', 'faktor', 'memengaruhi', 'faktor faktor', 'faktor memengaruhi', 'faktor faktor memengaruhi', 'es']",100
,Analisis Faktor-Faktor yang Memengaruhi Financial Distress pada Perusahaan Asuransi Jiwa,"['Ermawati, Wita Juwita', ' Maulana, Ikhsan']",False,"['analisis', 'faktor', 'memengaruhi', 'analisis faktor', 'faktor faktor', 'faktor memengaruhi', 'analisis faktor faktor', 'faktor faktor memengaruhi', 'perusahaan', 'asuransi']",100
,Pendapatan Usahatani Ternak Kelinci Berdasarkan Skala Usaha di Provinsi Jawa Barat,"['Rachmina, Dwi', ' Dewi, Triana Gita', ' Kholish, Usamah Nur']",False,"['jawa', 'barat', 'jawa barat', 'berdasarkan', 'pendapatan', 'skala', 'usaha', 'provinsi', 'provinsi jawa', 'provinsi jawa barat']",32
,Pengaruh Struktur Modal terhadap Kinerja Keuangan pada Dual Banking System di Indonesia.,"['Wiliasih, Ranti', ' Irfany, Mohammad Iqbal', ' Melinda, Vera']",False,"['indonesia', 'keuangan', 'pengaruh', 'struktur', 'modal', 'kinerja', 'dual', 'kinerja keuangan']",10
,Faktor-Faktor yang Memengaruhi Keputusan Wakif untuk Berwakaf Uang di Kabupaten Purworejo.,"['Hasanah, Neneng', ' Muthohharoh, Marhamah', ' Rositanti, Meilina']",False,"['faktor', 'memengaruhi', 'faktor faktor', 'faktor memengaruhi', 'faktor faktor memengaruhi', 'kabupaten', 'keputusan']",100
,"Analisis Pengaruh Pendidikan, Upah dan Kesempatan Kerja Terhadap Pengangguran Terdidik di Provinsi Jawa Barat","['Findi, Muhammad', ' Sundari, Reva']",False,"['analisis', 'jawa', 'barat', 'jawa barat', 'provinsi', 'provinsi jawa', 'provinsi jawa barat', 'pengaruh', 'kerja', 'analisis pengaruh']",32
